user_id,avg_decision_time,risk_score,exploration_score,curiosity_score,information_score,time_pressure_efficiency,decision_consistency,decision_variance,risk_shift_over_time,hint_dependency_curve,exploration_depth,pressure_success_rate,option_entropy,timeout_rate,path_unlock_rate,event_count,confidence,curiosity,emotional_safety,exploratory_power
TCBIS0000,7.102,0.231,0.227,0.179,0.34,0.581,0.591,0.394,0.186,-0.343,0.263,0.762,0.937,0.131,0.33,11,7.31,3.68,7.19,4.92
TCBIS0001,10.412,0.31,0.463,0.409,0.519,0.281,0.91,0.062,-0.242,-0.196,0.397,0.31,0.587,0.217,0.273,20,4.65,4.87,6.55,5.92
TCBIS0002,7.934,0.594,0.736,0.406,0.386,0.404,0.743,0.216,-0.071,0.105,0.627,0.422,0.634,0.137,0.426,21,6.32,5.17,7.58,6.4
TCBIS0003,7.494,0.644,0.186,0.529,0.298,0.44,1.0,0.036,0.202,0.53,0.246,0.489,0.529,0.004,0.358,11,7.21,5.55,6.26,4.07
TCBIS0004,11.43,0.584,0.153,0.259,0.424,0.252,1.0,0.037,0.282,-0.159,0.198,0.346,0.752,0.027,0.283,17,4.77,3.68,7.06,4.29
TCBIS0005,8.052,0.257,0.095,0.53,0.457,0.554,0.617,0.325,0.488,-0.107,0.154,0.75,0.668,0.372,0.263,23,6.1,6.07,5.57,3.95
TCBIS0006,8.935,0.674,0.788,0.18,0.401,0.413,0.577,0.42,-0.484,0.008,0.566,0.515,0.865,0.281,0.153,15,5.27,5.09,5.7,6.65
TCBIS0007,7.02,0.124,0.541,0.861,0.896,0.698,0.865,0.165,-0.325,0.545,0.513,0.892,0.205,0.084,0.46,23,7.8,6.86,5.55,5.81
TCBIS0008,3.428,0.372,0.36,0.752,0.518,0.561,0.741,0.274,-0.14,-0.013,0.275,0.396,0.71,0.126,0.117,13,6.96,6.79,7.44,5.96
TCBIS0009,10.199,0.32,0.459,0.287,0.358,0.459,0.86,0.105,0.274,0.465,0.536,0.724,0.671,0.221,0.679,14,7.61,5.08,6.69,5.99
TCBIS0010,7.376,0.472,0.85,0.448,0.491,0.266,0.75,0.258,0.229,-0.168,0.738,0.049,0.548,0.228,0.531,12,4.92,5.71,6.42,7.7
TCBIS0011,7.612,0.543,0.092,0.768,0.778,0.283,0.936,0.088,-0.429,0.087,0.103,0.042,0.475,0.466,0.123,13,4.75,7.15,5.82,3.31
TCBIS0012,8.781,0.579,0.536,0.413,0.563,0.493,0.726,0.306,0.468,0.074,0.478,0.647,0.59,0.074,0.37,11,6.17,5.09,6.58,5.54
TCBIS0013,11.27,0.139,0.249,0.319,0.37,0.319,0.549,0.389,0.425,0.016,0.251,0.493,0.749,0.068,0.254,12,5.6,4.44,6.21,4.49
TCBIS0014,2.283,0.24,0.43,0.204,0.622,0.691,0.83,0.136,-0.367,0.163,0.364,0.574,0.724,0.114,0.241,11,8.8,4.86,6.53,5.79
TCBIS0015,9.217,0.279,0.429,0.75,0.375,0.356,0.75,0.217,0.151,-0.175,0.369,0.416,0.512,0.111,0.258,21,6.34,5.96,6.38,5.82
TCBIS0016,3.738,0.518,0.169,0.352,0.686,0.705,0.787,0.277,0.001,0.128,0.265,0.702,0.825,0.1,0.442,15,8.13,5.23,6.77,5.25
TCBIS0017,2.351,0.52,0.38,0.719,0.828,0.633,0.66,0.267,0.243,-0.257,0.345,0.403,0.659,0.042,0.281,11,7.75,7.15,6.75,4.63
TCBIS0018,2.896,0.2,0.049,0.307,0.474,0.409,0.894,0.101,0.475,0.101,0.171,0.027,0.685,0.256,0.397,12,5.77,4.87,5.44,4.61
TCBIS0019,3.369,0.595,0.014,0.575,0.632,0.57,0.929,0.002,-0.495,-0.001,0.092,0.386,0.82,0.391,0.236,10,6.6,6.33,6.94,3.21
TCBIS0020,9.739,0.215,0.077,0.319,0.532,0.433,0.675,0.362,-0.159,-0.081,0.184,0.593,0.666,0.19,0.382,16,5.7,5.03,6.09,4.45
TCBIS0021,6.564,0.865,0.401,0.897,0.815,0.502,0.87,0.156,-0.457,0.086,0.306,0.44,0.941,0.081,0.129,12,7.19,8.01,5.73,5.9
